Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = heat curing",64.6
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.7/0.3, curing = heat curing",40.59
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = ambient curing.",47.15
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = heat curing.",56.56
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = heat curing.",58.93
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.7/0.3, curing = ambient curing.",22.4
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = heat curing.",44.49
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = heat curing.",61.95
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = ambient curing.",36.69
"The formulation is Powderkg = 370, wc = 0.6, materials = 0.5/0.5, curing = heat curing.",51.9
