Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing",64.28
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",39.8
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",42.91
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",55.78
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",62.29
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",48.14
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",23.62
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",60.68
