Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.5/0.5, curing = Heat curing",64.43
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing",46.01
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.24
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.52
"The formulation is Powderkg = 380, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",52.46
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Heat curing.",57.27
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",25.4
"The formulation is Powderkg = 370, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",42.72
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",41.85
