Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.7/0.3, curing = Heat curing",32.12
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing",51.22
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",56.66
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",55.78
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.95
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.96
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.9
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.41
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.27
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",62.65
