Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.7/0.3, curing = Heat curing",27.44
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",45.02
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.28
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",35.7
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.61
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",35.2
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",55.85
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",53.96
"The formulation is Powderkg = 370, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",36.52
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.54
